year,stockID,per
2015,1236,20.07
2016,1236,25.17
2017,1236,127.4225
2018,1236,182.425
2019,1236,99.2775
2020,1236,204.1466667
2022,1236,15.6775
2023,1236,46.92
2024,1236,118.3
2014,1256,21.12
2015,1256,20.035
2016,1256,15.42
2017,1256,15.1875
2018,1256,12.55
2019,1256,12.5175
2020,1256,11.4925
2021,1256,18.15
2022,1256,17.85
2023,1256,23.63
2024,1256,16.03666667
2014,1301,25.695
2015,1301,18.4225
2016,1301,14.295
2017,1301,13.055
2018,1301,13.975
2019,1301,15.9325
2020,1301,21.27
2021,1301,13.88
2022,1301,12.8075
2023,1301,37.28
2024,1301,63.69
2014,1303,16.515
2015,1303,15.04
2016,1303,11.885
2017,1303,11.3725
2018,1303,12.2175
2019,1303,18.35
2020,1303,20.08
2021,1303,11.855
2022,1303,12.95
2023,1303,44.5675
2024,1303,56.83333333
2014,1304,26.21
2015,1304,18.4975
2016,1304,13.3375
2017,1304,14.3175
2018,1304,19.91
2019,1304,14.05
2020,1304,8.0025
2021,1304,8.695
2022,1304,9.8975
2023,1304,52.15666667
2014,1305,51.2
2015,1305,13.0125
2016,1305,7.6125
2017,1305,10.925
2018,1305,10.835
2019,1305,13.255
2020,1305,8.5025
2021,1305,10.465
2022,1305,21.23333333
2023,1305,62.97
2024,1305,45.04
2014,1307,11.515
2015,1307,15.38
2016,1307,12.33
2017,1307,13.8725
2018,1307,23.035
2019,1307,25.095
2020,1307,28.875
2021,1307,58.6625
2022,1307,26.525
2023,1307,15.24
2024,1307,12.49666667
2014,1308,21.13
2015,1308,17.28
2016,1308,14.7125
2017,1308,16.1725
2018,1308,22.6975
2019,1308,13.76
2020,1308,10.3275
2021,1308,9.0825
2022,1308,9.0725
2023,1308,46.15
2024,1308,748
2015,1309,36.05
2016,1309,26.9675
2017,1309,10.995
2018,1309,14.115
2019,1309,11.3075
2020,1309,5.185
2021,1309,7.785
2022,1309,12.5775
2023,1309,75.15
2015,1310,26.32
2016,1310,8.22
2017,1310,9.9125
2018,1310,10.4525
2019,1310,12.0375
2020,1310,19.59
2021,1310,64.1475
2014,1312,49.515
2015,1312,17.36
2016,1312,7.7525
2017,1312,7.385
2018,1312,8.22
2019,1312,7.685
2020,1312,4.6925
2021,1312,5.055
2022,1312,9.36
2016,1313,30.38
2017,1313,9.5825
2018,1313,15.7225
2019,1313,80.2
2020,1313,15.085
2021,1313,14.415
2022,1313,30.89
2014,1314,81.04
2015,1314,138
2017,1314,103.575
2018,1314,6.555
2019,1314,11.585
2020,1314,29.2625
2021,1314,18.88
2022,1314,56.88
2024,1314,197.2
2014,1315,24.505
2015,1315,19.38
2016,1315,16.6
2017,1315,22.9875
2018,1315,24.5875
2019,1315,13.2175
2020,1315,2.885
2021,1315,541.975
2022,1315,21.3475
2023,1315,14.7975
2024,1315,19.34666667
2017,1316,41.5325
2018,1316,9.065
2019,1316,45.52
2020,1316,61.5
2021,1316,470
2022,1316,66.43666667
2023,1316,628.59
2014,1319,22.42
2015,1319,15.34
2016,1319,16.065
2017,1319,14.2925
2018,1319,12.5975
2019,1319,13.385
2020,1319,18.4025
2021,1319,27.9825
2022,1319,16.6125
2023,1319,13.76
2024,1319,18.56333333
2015,1321,152.6
2016,1321,373.05
2019,1321,149.1833333
2020,1321,15.455
2021,1321,17.6975
2022,1321,80.98333333
2023,1321,169.9525
2024,1321,37.49666667
2014,1323,10.965
2015,1323,10.7075
2016,1323,11.225
2017,1323,11.88
2018,1323,11.55
2019,1323,10.7075
2020,1323,10.08
2021,1323,11.1675
2022,1323,14.1625
2023,1323,25.115
2024,1323,32.14
2014,1324,25
2015,1324,16.9625
2016,1324,14.67
2017,1324,15.62
2018,1324,166.255
2019,1324,334.075
2020,1324,67.8375
2021,1324,379.47
2022,1324,297.6
2023,1324,42.8325
2024,1324,58.94
2014,1325,33.705
2015,1325,24.21
2016,1325,18.195
2017,1325,28.37
2018,1325,28.1525
2019,1325,31.12
2020,1325,7.8225
2021,1325,7.855
2022,1325,50.1325
2023,1325,135.45
2024,1325,95.43666667
2014,1326,38.115
2015,1326,20.89
2016,1326,13.325
2017,1326,11.1575
2018,1326,13.28
2019,1326,15.8625
2020,1326,19.2
2021,1326,16.285
2022,1326,29.2175
2023,1326,47.095
2024,1326,29.26
2014,1337,8.65
2015,1337,8.18
2016,1337,12.185
2017,1337,14.325
2014,1338,12.875
2015,1338,12.3675
2016,1338,13.29
2017,1338,12.2625
2018,1338,12.2575
2019,1338,12.685
2020,1338,13.775
2021,1338,15.67
2022,1338,21.8175
2023,1338,62.05
2014,1339,21.75
2015,1339,15.275
2016,1339,10.4375
2017,1339,11.2025
2018,1339,9.8725
2019,1339,8.815
2020,1339,16.4025
2021,1339,21.375
2022,1339,10.05
2023,1339,9.3975
2024,1339,10.02
2014,1340,9.765
2015,1340,9.305
2016,1340,8.0475
2017,1340,7.1575
2018,1340,12.125
2019,1340,1795
2018,1341,14.24
2019,1341,11.815
2020,1341,9.7825
2021,1341,11.7075
2022,1341,11.765
2023,1341,13.53
2024,1341,14.47666667
2020,1342,19.05
2021,1342,15.9125
2022,1342,13.4075
2023,1342,16.9375
2024,1342,16.01333333
2014,1402,14.02
2015,1402,16.35
2016,1402,17.65
2017,1402,17.3125
2018,1402,14.18
2019,1402,13.6225
2020,1402,14.5725
2021,1402,16.7225
2022,1402,18.165
2023,1402,19.0525
2024,1402,20.50666667
2014,1409,13.46
2015,1409,16.815
2016,1409,19.1525
2017,1409,17.515
2018,1409,10.015
2019,1409,10.1675
2020,1409,7.5725
2021,1409,9.325
2022,1409,9.195
2023,1409,20.1375
2024,1409,26.62333333
2014,1410,20.845
2015,1410,16.7875
2016,1410,14.9075
2017,1410,17.34
2018,1410,17.4525
2019,1410,25.3125
2020,1410,34
2021,1410,30.31
2022,1410,37.1575
2023,1410,93.5725
2024,1410,116.2333333
2015,1413,250
2017,1413,18.87
2018,1413,8.22
2019,1413,12.27
2020,1413,78.79
2021,1413,25.125
2022,1413,13.18
2023,1413,30.77
2014,1414,40.855
2015,1414,107.1875
2016,1414,453.5
2017,1414,35.1175
2018,1414,31.0725
2019,1414,41.47
2020,1414,37.155
2021,1414,35.17
2022,1414,32.9475
2023,1414,74.845
2024,1414,94.14
2014,1416,9.97
2015,1416,28.74
2016,1416,9.5625
2017,1416,10.7375
2018,1416,12.775
2019,1416,33.555
2021,1416,25.91
2022,1416,22.165
2023,1416,21.79
2024,1416,19.38666667
2014,1417,100.75
2019,1417,12.52666667
2020,1417,15.1
2021,1417,26.34
2022,1417,21.765
2023,1417,94.805
2022,1418,35.25
2023,1418,32.37
2024,1418,58.55666667
2014,1419,113.3
2015,1419,102.6875
2016,1419,84.86
2017,1419,17.5925
2018,1419,26.53
2019,1419,36.3175
2020,1419,33.06
2021,1419,29.595
2022,1419,9.3075
2023,1419,12.8975
2024,1419,21.80333333
2016,1423,227.7
2017,1423,48.72
2018,1423,20.68
2019,1423,39.515
2020,1423,12.5375
2021,1423,13.1625
2022,1423,27.9075
2023,1423,44.6
2024,1423,60.33333333
2023,1432,61.56333333
2024,1432,60.84
2014,1434,14.665
2015,1434,17.3075
2016,1434,15.89
2017,1434,13.2675
2018,1434,12.635
2019,1434,12.08
2020,1434,17.9225
2021,1434,24.2775
2022,1434,15.8875
2023,1434,43.905
2024,1434,103.8
2017,1435,536
2019,1435,94.76666667
2020,1435,91.61
2021,1435,593
2014,1436,9.17
2015,1436,25.54333333
2016,1436,1412.106667
2017,1436,20.0525
2018,1436,9.8325
2019,1436,12.77
2020,1436,18.2775
2021,1436,12.1725
2022,1436,10.0975
2023,1436,7.7925
