year,stockID,roa
2011,1229,5.77
2010,1229,7.7
2009,1229,5.91
2008,1229,0.42
2023,1231,8.24
2022,1231,8.83
2021,1231,9.03
2020,1231,8.42
2019,1231,7.25
2018,1231,8.03
2017,1231,6.33
2016,1231,7.36
2015,1231,5.68
2014,1231,3.83
2013,1231,6.6
2012,1231,7.71
2011,1231,8.79
2010,1231,9.41
2009,1231,3.84
2008,1231,3.28
2023,1232,16.1
2022,1232,17.6
2021,1232,19.1
2020,1232,21.8
2019,1232,17.7
2018,1232,17
2017,1232,15.2
2016,1232,17.4
2015,1232,18.9
2014,1232,21.8
2013,1232,16.5
2012,1232,10.9
2011,1232,14.8
2010,1232,16.7
2009,1232,14.9
2008,1232,11.9
2023,1233,4.06
2022,1233,2.21
2021,1233,1.83
2020,1233,2.33
2019,1233,6.73
2018,1233,8.24
2017,1233,8.63
2016,1233,8.54
2015,1233,10.5
2014,1233,11.5
2013,1233,11.5
2012,1233,12
2011,1233,12.8
2010,1233,12.7
2009,1233,10.7
2008,1233,8.77
2023,1234,4.17
2022,1234,3.89
2021,1234,3.54
2020,1234,3.97
2019,1234,3.71
2018,1234,3.04
2017,1234,2.41
2016,1234,4.98
2015,1234,2.85
2014,1234,1.8
2013,1234,1.34
2012,1234,37
2011,1234,2.6
2010,1234,2.52
2009,1234,2.5
2008,1234,1.64
2023,1235,2.15
2022,1235,4.72
2021,1235,1.86
2020,1235,1.57
2019,1235,0.85
2018,1235,1.69
2017,1235,6.15
2016,1235,6.41
2015,1235,1.81
2014,1235,2.49
2013,1235,-2.65
2012,1235,0.69
2011,1235,1.01
2010,1235,1.12
2009,1235,1.47
2008,1235,1.3
2023,1236,0.39
2022,1236,11.2
2021,1236,-0.88
2020,1236,0.01
2019,1236,0.57
2018,1236,0.46
2017,1236,0.17
2016,1236,2.28
2015,1236,3.09
2014,1236,5.51
2013,1236,4.67
2012,1236,5.05
2011,1236,7.01
2010,1236,6.89
2009,1236,8.95
2008,1236,6.92
2023,1256,10
2022,1256,9.79
2021,1256,16.8
2020,1256,23.2
2019,1256,19
2018,1256,17.9
2017,1256,14.2
2016,1256,13.5
2015,1256,13.7
2014,1256,19.9
2013,1256,24.5
2012,1256,14.2
2011,1256,18.3
2010,1256,19
2023,1301,1.41
2022,1301,6.85
2021,1301,14
2020,1301,4.1
2019,1301,7.48
2018,1301,10.1
2017,1301,10.6
2016,1301,8.96
2015,1301,7.23
2014,1301,4.26
2013,1301,5.38
2012,1301,4.17
2011,1301,10.1
2010,1301,13.3
2009,1301,8.8
2008,1301,6
2023,1303,1.23
2022,1303,5.77
2021,1303,13.5
2020,1303,4.72
2019,1303,4.13
2018,1303,9.45
2017,1303,9.98
2016,1303,9.27
2015,1303,6.89
2014,1303,6.2
2013,1303,5.1
2012,1303,0.78
2011,1303,5.2
2010,1303,9.44
2009,1303,4.1
2008,1303,2.64
2023,1304,-2.51
2022,1304,-0.08
2021,1304,12.4
2020,1304,7.64
2019,1304,3.63
2018,1304,2.81
2017,1304,4.29
2016,1304,3.98
2015,1304,2.65
2014,1304,1.07
2013,1304,2.96
2012,1304,5.06
2011,1304,9.05
2010,1304,9.98
2009,1304,7.67
2008,1304,-2.06
2023,1305,2.29
2022,1305,-2.01
2021,1305,17
2020,1305,13.7
2019,1305,5.46
2018,1305,10.5
2017,1305,10.3
2016,1305,12
2015,1305,6.84
2014,1305,1.07
2013,1305,7.19
2012,1305,8.51
2011,1305,-1.05
2010,1305,0.05
2009,1305,5.22
2008,1305,-3.57
2023,1307,4.9
2022,1307,3.12
2021,1307,0.77
2020,1307,1.43
2019,1307,2.9
2018,1307,2.09
2017,1307,6.08
2016,1307,8.49
2015,1307,7.98
2014,1307,7.46
2013,1307,6.62
2012,1307,6.08
2011,1307,6.62
2010,1307,11.4
2009,1307,11
2008,1307,9.94
2023,1308,0.74
2022,1308,8.18
2021,1308,17.3
2020,1308,6.53
2019,1308,5.05
2018,1308,1.88
2017,1308,3.83
2016,1308,5.38
2015,1308,5.3
2014,1308,4.94
2013,1308,5.21
2012,1308,6.04
2011,1308,16.9
2010,1308,17.5
2009,1308,14.9
2008,1308,5.15
2023,1309,-3.02
2022,1309,4.12
2021,1309,18.5
2020,1309,22.3
2019,1309,4.76
2018,1309,2.37
2017,1309,5.81
2016,1309,1.37
