StockID,Year,ROA
1220,2019,4.48
1220,2018,3.68
1220,2017,2.79
1220,2016,6.16
1220,2015,3.37
1220,2014,1.32
1220,2013,1.33
1220,2012,4.7
1220,2011,4.65
1220,2010,3.97
1220,2009,-3.49
1220,2008,-7.55
1225,24Q1,3.82
1225,2023,4.51
1225,2022,3.74
1225,2021,5.79
1225,2020,5.41
1225,2019,5.58
1225,2018,4.47
1225,2017,4.69
1225,2016,7.32
1225,2015,9.07
1225,2014,0.97
1225,2013,1.11
1225,2012,0.67
1225,2011,0.56
1225,2010,3.11
1225,2009,2.38
1225,2008,-3.38
1227,24Q1,7.71
1227,2023,4.73
1227,2022,4.43
1227,2021,8.91
1227,2020,12.2
1227,2019,14
1227,2018,12.7
1227,2017,9.93
1227,2016,12.5
1227,2015,14.2
1227,2014,12.3
1227,2013,12.5
1227,2012,17.1
1227,2011,21.6
1227,2010,21.5
1227,2009,13.8
1227,2008,7.94
1229,24Q1,5.53
1229,2023,6.18
1229,2022,6.84
1229,2021,7.43
1229,2020,6.83
1229,2019,8.18
1229,2018,8.24
1229,2017,10.6
1229,2016,8.44
1229,2015,5.59
1229,2014,6.52
1229,2013,5.21
1229,2012,6.13
1229,2011,5.77
1229,2010,7.7
1229,2009,5.91
1229,2008,0.42
1231,24Q1,8.7
1231,2023,8.24
1231,2022,8.83
1231,2021,9.03
1231,2020,8.42
1231,2019,7.25
1231,2018,8.03
1231,2017,6.33
1231,2016,7.36
1231,2015,5.68
1231,2014,3.83
1231,2013,6.6
1231,2012,7.71
1231,2011,8.79
1231,2010,9.41
1231,2009,3.84
1231,2008,3.28
1232,24Q2,16.9
1232,2023,16.1
1232,2022,17.6
1232,2021,19.1
1232,2020,21.8
1232,2019,17.7
1232,2018,17
1232,2017,15.2
1232,2016,17.4
1232,2015,18.9
1232,2014,21.8
1232,2013,16.5
1232,2012,10.9
1232,2011,14.8
1232,2010,16.7
1232,2009,14.9
1232,2008,11.9
1233,24Q1,5.66
1233,2023,4.06
1233,2022,2.21
1233,2021,1.83
1233,2020,2.33
1233,2019,6.73
1233,2018,8.24
1233,2017,8.63
1233,2016,8.54
1233,2015,10.5
1233,2014,11.5
1233,2013,11.5
1233,2012,12
1233,2011,12.8
1233,2010,12.7
1233,2009,10.7
1233,2008,8.77
1234,24Q2,3.68
1234,2023,4.17
1234,2022,3.89
1234,2021,3.54
1234,2020,3.97
1234,2019,3.71
1234,2018,3.04
1234,2017,2.41
1234,2016,4.98
1234,2015,2.85
1234,2014,1.8
1234,2013,1.34
1234,2012,37
1234,2011,2.6
1234,2010,2.52
1234,2009,2.5
1234,2008,1.64
1235,24Q1,3.39
1235,2023,2.15
1235,2022,4.72
1235,2021,1.86
1235,2020,1.57
1235,2019,0.85
1235,2018,1.69
1235,2017,6.15
1235,2016,6.41
1235,2015,1.81
1235,2014,2.49
1235,2013,-2.65
1235,2012,0.69
1235,2011,1.01
1235,2010,1.12
1235,2009,1.47
1235,2008,1.3
1236,24Q1,0.86
1236,2023,0.39
1236,2022,11.2
1236,2021,-0.88
1236,2020,0.01
1236,2019,0.57
1236,2018,0.46
1236,2017,0.17
1236,2016,2.28
1236,2015,3.09
1236,2014,5.51
1236,2013,4.67
1236,2012,5.05
1236,2011,7.01
1236,2010,6.89
1236,2009,8.95
1236,2008,6.92
1256,24Q1,4.28
1256,2023,10
1256,2022,9.79
1256,2021,16.8
1256,2020,23.2
1256,2019,19
1256,2018,17.9
1256,2017,14.2
1256,2016,13.5
1256,2015,13.7
1256,2014,19.9
1256,2013,24.5
1256,2012,14.2
1256,2011,18.3
1256,2010,19
1301,24Q2,0.59
1301,2023,1.41
1301,2022,6.85
1301,2021,14
1301,2020,4.1
1301,2019,7.48
1301,2018,10.1
1301,2017,10.6
1301,2016,8.96
1301,2015,7.23
1301,2014,4.26
1301,2013,5.38
1301,2012,4.17
1301,2011,10.1
1301,2010,13.3
1301,2009,8.8
1301,2008,6
1303,24Q2,0.89
1303,2023,1.23
1303,2022,5.77
1303,2021,13.5
1303,2020,4.72
1303,2019,4.13
1303,2018,9.45
1303,2017,9.98
1303,2016,9.27
1303,2015,6.89
1303,2014,6.2
1303,2013,5.1
1303,2012,0.78
1303,2011,5.2
1303,2010,9.44
1303,2009,4.1
1303,2008,2.64
1304,24Q1,-5.26
1304,2023,-2.51
1304,2022,-0.08
1304,2021,12.4
1304,2020,7.64
1304,2019,3.63
1304,2018,2.81
1304,2017,4.29
1304,2016,3.98
1304,2015,2.65
1304,2014,1.07
1304,2013,2.96
1304,2012,5.06
1304,2011,9.05
1304,2010,9.98
1304,2009,7.67
1304,2008,-2.06
1305,24Q2,0.57
1305,2023,2.29
1305,2022,-2.01
1305,2021,17
1305,2020,13.7
1305,2019,5.46
1305,2018,10.5
1305,2017,10.3
1305,2016,12
1305,2015,6.84
1305,2014,1.07
1305,2013,7.19
1305,2012,8.51
1305,2011,-1.05
1305,2010,0.05
1305,2009,5.22
1305,2008,-3.57
1307,24Q2,8.79
1307,2023,4.9
1307,2022,3.12
1307,2021,0.77
1307,2020,1.43
1307,2019,2.9
1307,2018,2.09
1307,2017,6.08
1307,2016,8.49
1307,2015,7.98
1307,2014,7.46
1307,2013,6.62
1307,2012,6.08
1307,2011,6.62
1307,2010,11.4
1307,2009,11
1307,2008,9.94
1308,24Q1,-5.09
1308,2023,0.74
1308,2022,8.18
1308,2021,17.3
1308,2020,6.53
1308,2019,5.05
1308,2018,1.88
1308,2017,3.83
1308,2016,5.38
1308,2015,5.3
1308,2014,4.94
1308,2013,5.21
1308,2012,6.04
1308,2011,16.9
1308,2010,17.5
1308,2009,14.9
1308,2008,5.15
1309,24Q2,-3.06
1309,2023,-3.02
1309,2022,4.12
1309,2021,18.5
1309,2020,22.3
1309,2019,4.76
1309,2018,2.37
1309,2017,5.81
1309,2016,1.37
1309,2015,0.67
1309,2014,-5.4
1309,2013,0.16
1309,2012,-0.38
1309,2011,2.82
1309,2010,5.78
1309,2009,6.15
1309,2008,-16.7
1310,24Q2,-0.63
1310,2023,-4.93
1310,2022,-3.65
1310,2021,1.15
1310,2020,3.16
1310,2019,8.9
1310,2018,11.1
1310,2017,8.67
1310,2016,11.2
1310,2015,5.39
1310,2014,-0.49
1310,2013,9.32
1310,2012,-4.25
1310,2011,-7.34
1310,2010,0.76
1310,2009,5.59
1310,2008,-7.17
1312,24Q1,-3.06
1312,2023,-2.38
1312,2022,-0.83
1312,2021,14.3
1312,2020,12.7
1312,2019,7.09
1312,2018,10.9
1312,2017,13
1312,2016,10.7
1312,2015,6.95
1312,2014,1.99
1312,2013,8.85
1312,2012,8.46
1312,2011,5.94
1312,2010,10.1
1312,2009,11.8
1312,2008,-8.84
1313,24Q2,-4.72
1313,2023,-0.53
1313,2022,-2.37
1313,2021,4.38
1313,2020,4.78
1313,2019,-0.31
1313,2018,1.66
1313,2017,5.75
1313,2016,2.97
1313,2015,-0.43
1313,2014,-0.55
1313,2013,1.36
1313,2012,2.96
1313,2011,2.79
1313,2010,8.16
1313,2009,5.17
1313,2008,0.3
1314,24Q1,0.65
1314,2023,-0.75
1314,2022,0.17
1314,2021,3.32
1314,2020,0.67
1314,2019,1.86
1314,2018,5
1314,2017,7.7
1314,2016,-2.47
1314,2015,0.11
1314,2014,0.4
1314,2013,9.02
1314,2012,3.17
1314,2011,21.9
1314,2010,14.3
1314,2009,4.83
1314,2008,-7.14
1315,24Q1,1.43
1315,2023,3.06
1315,2022,5.86
1315,2021,0.05
1315,2020,47.2
1315,2019,7.05
1315,2018,2.37
1315,2017,1.76
1315,2016,3.27
1315,2015,2.69
1315,2014,2.41
1315,2013,1.81
1315,2012,1.92
1315,2011,7.43
1315,2010,2.49
1315,2009,1.46
1315,2008,4.04
1316,24Q1,-0.07
1316,2023,-1.22
1316,2022,0.5
1316,2021,-0.32
1316,2020,0.92
1316,2019,-1.16
1316,2018,4.45
1316,2017,7.42
1316,2016,-2.68
1316,2015,-3.66
1316,2014,-1.2
1316,2013,-8.23
1316,2012,-6.4
1316,2011,-2.77
1316,2010,-1.99
1316,2009,-0.45
1316,2008,-1.39
1319,24Q1,13.4
1319,2023,8.89
